Date,Cost Index,Year Composite
2018,91.17875073513693,2744.68
2017,90.15973161403463,2448.2175
2016,89.46590497495156,2091.8441666666668
2015,88.65392748379934,2061.1991666666668
2014,86.47190990152691,1930.6675
2013,86.05996591094542,1642.5116666666668
2012,85.70969790261492,1379.5633333333335
2011,86.23908799805521,1268.89
2010,84.61393100421171,1139.3075
2009,84.80835495034087,946.7358333333333
2008,83.44615919614644,1220.8883333333329
2007,83.19660676053614,1476.6333333333334
2006,82.72701137236605,1310.6699999999996
2005,82.7948477196798,1207.0608333333332
2004,80.77302578850316,1130.5475000000004
2003,76.31543515929664,963.6891666666667
2002,76.81353949728835,995.63
2001,76.6401606998153,1192.0783333333334
2000,78.72200104739595,1427.0075
1999,78.98128130837776,1326.0608333333332
1998,78.79060548990577,1084.3108333333334
1997,79.39146428733092,872.6733333333333
1996,77.89285948266286,670.8283333333333
1995,77.74430980443364,541.6383333333333
1994,79.89887108940512,460.32916666666665
1993,78.88788053790942,451.40666666666664
1992,77.05381962620805,415.74416666666673
1991,76.74207453599819,376.1775
1990,79.63498843103021,334.58749999999986
1989,81.66945023376972,322.8333333333333
1988,84.31285437542734,265.78333333333336
1987,85.80011746512629,286.8416666666667
1986,85.06563925795437,236.35833333333332
1985,86.30725178409052,186.85
1984,89.06159549105747,160.46666666666667
1983,91.52830101709854,160.42499999999995
1982,88.95277082894883,119.725
1981,90.50387670375922,128.04166666666669
1980,93.67720900915924,118.78333333333336
1979,100.0,103.02250000000002
1978,100.56884002199013,96.01999999999998
1977,99.16550372845042,98.20999999999998
1976,96.23389798331759,102.02166666666665
1975,94.12250092065096,86.15583333333332
1974,97.0932715471171,82.5525
1973,100.30455778467764,107.42333333333332
1972,95.74309565561676,109.20833333333331
1971,89.43618587715929,98.28333333333336
1970,83.04289524740322,83.21999999999998
1969,83.3230383406119,97.84
1968,79.39056456852481,98.69416666666666
1967,77.15051023392057,91.92833333333334
1966,76.74926786090913,85.25666666666666
1965,75.45724616230389,88.17
1964,74.36711732147721,81.36833333333333
1963,73.3670177367553,69.865
1962,72.59299981674913,62.38249999999999
1961,71.5681969959156,66.27250000000001
1960,71.6361425754315,55.85
1959,70.95296771625183,57.37916666666666
1958,68.92571419784174,46.23833333333334
1957,69.24632103959016,44.38
1956,68.79148786031361,46.62333333333334
1955,65.95528266961516,40.49333333333333
1954,62.2544761920333,29.68916666666666
1953,60.83922009531801,24.73166666666667
1952,58.94343771717821,24.4975
1951,59.278698601377414,22.335
1950,59.91718620237915,18.4
1949,55.07055158512002,15.23
1948,54.02490820059244,15.532500000000004
1947,54.66305278903562,15.165833333333335
1946,54.05276416821222,17.080833333333334
1945,50.41571180609175,15.155833333333335
1944,50.711518896956136,12.468333333333332
1943,50.87879093461198,11.504166666666668
1942,53.093496461624134,8.673333333333334
1941,56.18900572756444,9.824166666666667
1940,54.83643871049394,11.020833333333336
1939,52.83554543312653,12.061666666666666
1938,52.09138282139236,11.488333333333335
1937,52.19452664740582,15.405833333333335
1936,46.79908533913362,15.468333333333335
1935,45.83077321087864,10.599166666666667
1934,47.50403984873474,9.844166666666666
1933,43.078444157493465,8.958333333333334
1932,34.39721356158959,6.928333333333334
1931,39.67346769425457,13.659166666666666
1930,40.62221707833813,21.026666666666667
1929,41.939694388986936,26.01833333333333
1928,40.803719251192454,19.953333333333333
1927,39.90826984999608,15.343333333333335
1926,38.806698996624704,12.586666666666668
1925,39.718513951958606,11.15
1924,40.369637131498905,9.045833333333333
1923,41.57111442707925,8.573333333333332
1922,34.43760958456269,8.410833333333333
1921,32.805185035155226,6.857499999999999
1920,40.27179996980633,7.977499999999999
1919,36.18271777700035,8.782499999999999
1918,42.643917380036136,7.539166666666667
1917,53.5943013678033,8.495
1916,47.29616864718569,9.466666666666667
1915,35.31752295625385,8.305000000000001
1914,34.47783935401113,7.945000000000001
1913,40.33646953517861,8.5075
1912,42.25410832340377,9.535000000000002
1911,42.29755768803429,9.235
1910,37.98176671894794,9.351666666666668
1909,44.07166612266357,9.7125
1908,50.125714115545215,7.775833333333333
1907,49.544707383141926,7.84
1906,51.769148434637316,9.621666666666668
1905,47.110983749312076,8.985833333333332
1904,47.08562106216257,7.049166666666667
1903,43.543549635726144,7.211666666666666
1902,50.516165104586726,8.416666666666666
1901,51.252324438093325,7.842500000000001
1900,49.42063381316196,6.1475
1899,64.04460579646552,6.288333333333332
1898,61.438038202283494,5.0525
1897,62.38489275638975,4.450833333333334
1896,60.06894542897357,4.233333333333333
1895,61.47033842924371,4.525
1894,57.263433799441344,4.386666666666667
1893,44.67333155032127,4.775
1892,52.048155015552595,5.550000000000002
1891,47.26616290855392,5.028333333333333
1890,51.36233983496865,5.269166666666667
