Date,Year Index,Year SE
2020,48.715,4.075
2019,49.17166666666666,3.9833333333333343
2018,47.300000000000004,3.821666666666667
2017,39.7375,3.6941666666666664
2016,48.61416666666667,3.7775000000000003
2015,48.34583333333334,3.704166666666667
2014,47.711666666666666,3.6775
2013,58.48083333333332,3.5025
2012,68.02499999999999,3.123333333333333
2011,66.20833333333331,3.2208333333333337
2010,65.97333333333334,3.3216666666666668
2009,74.61666666666667,3.0116666666666663
2008,65.95166666666668,2.6966666666666668
2007,67.82,3.3183333333333334
2006,69.52250000000001,4.1025
2005,64.15083333333332,3.9391666666666665
2004,64.23,3.890833333333333
2003,70.98583333333333,3.5725
2002,64.26916666666668,3.665833333333333
2001,59.17857142857143,4.9799999999999995
2000,41.725,5.5600000000000005
1999,33.22,4.39
1996,51.97,4.43
1989,73.27,4.4
